ProfessionalDetails,Tier
Pathologist,Lead
Brewing technologist,Lead
Chartered loss adjuster,Lead
Event organiser,Freelancer
Homeopath,Professional
Newspaper journalist,Lead
Make,Manager
Psychiatrist,Freelancer
Futures trader,Lead
Chartered management accountant,Professional
"Lighting technician, broadcasting/film/video",Professional
"Producer, radio",Professional
Research scientist (physical sciences),Freelancer
Financial planner,Professional
Press photographer,Lead
Rural practice surveyor,Professional
"Embryologist, clinical",Professional
"Therapist, horticultural",Freelancer
"Psychologist, sport and exercise",Manager
Osteopath,Professional
Futures trader,Professional
Copy,Freelancer
Paediatric nurse,Lead
Environmental education officer,Manager
Energy engineer,Lead
Advertising account planner,Professional
Higher education lecturer,Professional
Transport planner,Professional
Dentist,Lead
Theatre stage manager,CXO
Data scientist,Professional
Immigration officer,Freelancer
Tax inspector,Freelancer
Camera operator,Lead
"Exhibitions officer, museum/gallery",Freelancer
Medical sales representative,Professional
"Loss adjuster, chartered",Lead
Aeronautical engineer,Professional
Quarry manager,Freelancer
Corporate investment banker,Manager
Conference centre manager,Freelancer
Contracting civil engineer,Manager
Human resources officer,Lead
Chiropodist,Professional
Operations geologist,Professional
Editorial assistant,Lead
Forest/woodland manager,Freelancer
"Programmer, systems",Professional
Music tutor,Lead
Hydrologist,Lead
"Engineer, technical sales",Lead
IT consultant,Manager
"Lighting technician, broadcasting/film/video",Professional
Public relations officer,Professional
"Doctor, hospital",Professional
Building control surveyor,Lead
Meteorologist,Lead
"Therapist, nutritional",Professional
Materials engineer,Professional
Investment analyst,Professional
Ceramics designer,Professional
Amenity horticulturist,Professional
Commissioning editor,Lead
Ergonomist,Freelancer
Accounting technician,Professional
Learning disability nurse,Freelancer
Claims inspector/assessor,Lead
Exercise physiologist,Professional
Artist,Freelancer
Higher education lecturer,Manager
"Education officer, museum",Freelancer
Clinical research associate,Professional
Automotive engineer,Freelancer
Copy,Professional
Water quality scientist,Freelancer
Sports development officer,Professional
"Sales professional, IT",Professional
Environmental health practitioner,Professional
Music therapist,Manager
Health and safety inspector,Professional
Housing manager/officer,Freelancer
"Journalist, magazine",Lead
Photographer,Professional
Chartered certified accountant,Professional
"Loss adjuster, chartered",Lead
Waste management officer,Professional
"Production assistant, radio",Professional
"Optician, dispensing",Manager
Web designer,Professional
Advertising copywriter,Professional
Geoscientist,Manager
Land/geomatics surveyor,Lead
Horticultural consultant,Lead
"Teacher, adult education",Freelancer
Youth worker,Professional
Contracting civil engineer,Professional
Town planner,Professional
Energy engineer,Lead
"Nurse, children's",Lead
Engineering geologist,Lead
Mining engineer,Manager
Health physicist,CXO
Hospital doctor,Freelancer
Barrister's clerk,Professional
"Education officer, community",Professional
Equities trader,Professional
Operational researcher,Freelancer
"Surveyor, land/geomatics",Lead
Pathologist,Freelancer
Recycling officer,Professional
Soil scientist,Freelancer
"Accountant, chartered public finance",Professional
Environmental education officer,Professional
"Loss adjuster, chartered",Professional
Private music teacher,CXO
"Geneticist, molecular",Lead
Corporate treasurer,Lead
Multimedia specialist,Professional
Hydrologist,Professional
Meteorologist,Professional
"Therapist, art",Freelancer
Animator,Lead
"Lecturer, higher education",Professional
Meteorologist,Lead
Legal secretary,Manager
Broadcast journalist,Freelancer
"Journalist, broadcasting",Professional
"Therapist, nutritional",Professional
"Engineer, materials",Freelancer
Occupational psychologist,Lead
Insurance underwriter,Lead
Child psychotherapist,Lead
"Doctor, general practice",Lead
Newspaper journalist,Professional
Press sub,Professional
Fisheries officer,Professional
"Scientist, research (maths)",Professional
Control and instrumentation engineer,Professional
Chiropractor,Lead
"Restaurant manager, fast food",Professional
"Surveyor, mining",Lead
Catering manager,Professional
Chief Operating Officer,Professional
Retail buyer,Professional
"Teacher, special educational needs",Lead
Chartered public finance accountant,Freelancer
"Editor, film/video",Freelancer
TEFL teacher,Professional
Press photographer,Freelancer
"Buyer, retail",Professional
"Designer, interior/spatial",Freelancer
Art therapist,Freelancer
Secretary/administrator,Lead
"Programmer, applications",Lead
"Engineer, building services",Freelancer
Animator,Freelancer
Barrister's clerk,Professional
Clinical research associate,Lead
"Scientist, product/process development",Professional
Dealer,Lead
"Therapist, speech and language",Professional
"Teacher, special educational needs",Lead
Museum/gallery exhibitions officer,Freelancer
Estate manager/land agent,Professional
Economist,Lead
